City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
118,murzuq,25.9155,13.9184,66.45,18,11,15.97,LY,1712894257
119,remire-montjoly,4.9167,-52.2667,80.64,94,75,10.36,GF,1712894258
120,san julian,21.0167,-102.1667,59.52,41,2,9.46,MX,1712894259
121,kiffa,16.6166,-11.4045,88.9,16,91,11.74,MR,1712894260
122,waingapu,-9.6567,120.2641,85.6,61,28,9.46,ID,1712894261
123,vilyuysk,63.7553,121.6247,3.99,78,56,8.99,RU,1712894261
124,kourou,5.1552,-52.6478,80.65,93,63,6.17,GF,1712894262
125,colachel,8.1667,77.25,89.24,57,100,2.55,IN,1712894263
126,sinegorskiy,48.0139,40.8447,63.32,58,89,3.06,RU,1712894264
127,atafu village,-8.5421,-172.5159,85.96,73,95,8.05,TK,1712894045
128,nar'yan-mar,67.6713,53.087,25.02,97,100,14.52,RU,1712894265
129,helston,50.1032,-5.2705,52.0,100,100,12.66,GB,1712894266
130,mabaruma,8.2,-59.7833,75.9,85,4,1.99,GY,1712894267
131,birjand,32.8663,59.2211,59.47,72,20,13.8,IR,1712894267
132,ribeira grande,38.5167,-28.7,60.78,94,8,1.99,PT,1712894047
133,aykhal,66.0,111.5,0.55,78,25,8.37,RU,1712894072
134,dudinka,69.4058,86.1778,-11.33,95,50,11.99,RU,1712894270
135,la passe,45.5549,-0.8967,51.98,93,9,7.16,FR,1712894055
136,cockburn town,21.4612,-71.1419,77.47,83,28,21.63,TC,1712894059
137,bayanaul,50.7889,75.6956,34.68,52,76,11.56,KZ,1712894272
138,hamilton,39.1834,-84.5333,52.86,82,100,20.71,US,1712894273
139,udachny,66.4167,112.4,3.49,72,79,11.16,RU,1712894274
140,wailua homesteads,22.0669,-159.378,72.39,92,100,9.22,US,1712894051
141,saint-pierre,-21.3393,55.4781,80.28,65,92,4.61,RE,1712894042
142,hithadhoo,-0.6,73.0833,84.04,72,89,6.17,MV,1712894276
143,afaahiti,-17.75,-149.2833,82.27,85,94,22.15,PF,1712894277
144,newman,37.3138,-121.0208,73.38,74,0,5.01,US,1712894279
145,jamestown,42.097,-79.2353,59.02,99,100,6.91,US,1712894049
146,egilsstadir,65.2653,-14.3948,35.51,75,75,9.22,IS,1712894075
147,carutapera,-1.195,-46.02,77.38,94,100,3.04,BR,1712894282
148,alofi,-19.0595,-169.9187,80.49,94,75,5.75,NU,1712894283
149,bonthe,7.5264,-12.505,76.86,88,97,4.65,SL,1712894284
150,arica,-18.475,-70.3042,69.35,77,0,0.0,CL,1712894195
151,morant bay,17.8815,-76.4093,83.82,88,80,7.87,JM,1712894285
152,key west,24.5557,-81.7826,80.6,89,75,12.66,US,1712894273
153,el gouna,27.3942,33.6782,69.89,45,96,16.84,EG,1712894287
154,cepu,-7.1475,111.5906,86.32,74,54,6.98,ID,1712894288
155,lusambo,-4.9667,23.45,72.07,94,98,1.54,CD,1712894288
156,kirensk,57.7853,108.1119,27.97,82,99,5.01,RU,1712894289
